Lenovo;IdeaPad 320-15IAP;15.6;Intel Celeron Dual Core N3350 1.1GHz;4;1000;No OS;2.2
Dell;Inspiron 7577;15.6;Intel Core i5 7300HQ 2.5GHz;8;1000;Windows;2.65
Dell;Inspiron 3567;15.6;Intel Core i5 7200U 2.5GHz;8;2000;Windows;2.36
Dell;Latitude 7480;14.0;Intel Core i5 7300U 2.6GHz;8;256;Windows;1.36
HP;250 G6;15.6;Intel Core i3 6006U 2GHz;4;500;Windows;1.86
Asus;Zenbook UX410UA-GV027T;14.0;Intel Core i5 7200U 2.5GHz;8;256;Windows;2
HP;250 G6;15.6;Intel Core i5 7200U 2.5GHz;8;1000;Windows;1.86
Lenovo;IdeaPad 320-15ISK;15.6;Intel Core i3 6006U 2GHz;8;256;No OS;2.2
Dell;Inspiron 5567;15.6;Intel Core i7 7500U 2.7GHz;8;256;Windows;2.33
HP;Elitebook 1040;14.0;Intel Core i7 7500U 2.7GHz;8;256;Windows;1.36
Acer;Aspire 3;15.6;AMD A9-Series 9420 3GHz;4;128;Windows;2.1
Lenovo;IdeaPad 110-17ACL;17.3;AMD A8-Series 7410 2.2GHz;4;128;Windows;2.6
Dell;Inspiron 5379;13.3;Intel Core i7 8550U 1.8GHz;8;256;Windows;1.62
Lenovo;Yoga 11e;11.6;Intel Celeron Quad Core N3450 1.1GHz;4;128;Windows;1.59
Dell;Inspiron 3552;15.6;Intel Celeron Dual Core N3060 1.60GHz;4;500;Windows;1.8
Acer;Aspire 7;15.6;Intel Core i7 7700HQ 2.8GHz;8;1000;Linux;2.4
Lenovo;IdeaPad 720S-14IKB;14.0;Intel Core i5 7200U 2.5GHz;8;256;Windows;1.5
Asus;Zenbook Flip;13.3;Intel Core i7 7500U 2.7GHz;16;512;Windows;1.1
Lenovo;Thinkpad X1;14.0;Intel Core i7 7500U 2.7GHz;8;512;Windows;1.13
Lenovo;Ideapad 510S-13IKB;13.3;Intel Core i3 7100U 2.4GHz;4;128;Windows;1.5
Dell;Precision 3510;15.6;Intel Core i5 6440HQ 2.6GHz;8;500;Windows;2.23
Dell;Precision 5520;15.6;Intel Core i7 6820HQ 2.7GHz;8;256;Windows;2
Lenovo;ThinkPad X1;14.0;Intel Core i7 7500U 2.7GHz;16;512;Windows;1.42
Asus;Rog GL753VD-GC042T;17.3;Intel Core i7 7700HQ 2.8GHz;8;1000;Windows;3
Acer;Aspire 5;15.6;Intel Core i5 8250U 1.6GHz;12;1000;Windows;2.2
MSI;Leopard GP72M;17.3;Intel Core i7 7700HQ 2.8GHz;8;256;Windows;2.7
Dell;Inspiron 5567;15.6;Intel Core i7 7500U 2.7GHz;8;256;Linux;2.33
Lenovo;ThinkPad E580;15.6;Intel Core i7 8550U 1.8GHz;8;256;Windows;2.1
Lenovo;ThinkPad L470;14.0;Intel Core i5 7200U 2.5GHz;8;256;Windows;1.9
Dell;Precision M5520;15.6;Intel Core i7 7700HQ 2.8GHz;8;256;Windows;1.78
Lenovo;Thinkpad X1;14.0;Intel Core i7 7500U 2.7GHz;16;1000;Windows;1.13
Lenovo;IdeaPad 320-15IAP;15.6;Intel Celeron Dual Core N3350 1.1GHz;4;1000;Windows;2.2
Acer;Aspire 7;15.6;Intel Core i7 7700HQ 2.8GHz;8;256;Linux;2.5
Asus;Zenbook 3;14.0;Intel Core i7 7500U 2.7GHz;8;512;Windows;1.10
Toshiba;Portege Z30-C-16P;13.3;Intel Core i7 6500U 2.5GHz;16;512;Windows;1.2
Dell;Latitude 7480;14.0;Intel Core i7 7600U 2.8GHz;8;512;Windows;1.36
Lenovo;IdeaPad 320-15ISK;15.6;Intel Core i3 6006U 2GHz;4;500;Windows;2.2
Lenovo;ThinkPad P51;15.6;Intel Core i7 7700HQ 2.8GHz;8;512;Windows;2.67
Lenovo;Thinkpad T470p;14.0;Intel Core i7 7700HQ 2.8GHz;8;512;Windows;1.7
Acer;Aspire R7;13.3;Intel Core i7 6500U 2.5GHz;8;256;Windows;1.6
Asus;ZenBook Flip;13.3;Intel Core i5 7200U 2.5GHz;8;256;Windows;1.27
Dell;Inspiron 3567;15.6;Intel Core i5 7200U 2.5GHz;4;256;Linux;2.3
Dell;Latitude 3380;13.3;Intel Core i3 6006U 2GHz;4;128;Windows;1.65
HP;EliteBook 1040;14.0;Intel Core i7 6500U 2.5GHz;8;256;Windows;1.43
